"-","id","timestamp","frameNumber","x","y","vx","vy","size"
"$","5","1707210984604","254","-15.2265625","14.9609375","21.7231330871582","1","4.94287109375"
"$","7","1707210984604","254","-60.9609375","9.8359375","22.0432662963867","1","5.78369140625"
"$","8","1707210984604","254","-133.921875","-2.3515625","19.9089050292969","1","8.3155517578125"
"$","7","1707210984667","255","-59.6484375","10.0234375","22.0432662963867","1","5.78369140625"
"$","8","1707210984667","255","-115.015625","6.5625","19.4639148712158","1","8.3155517578125"
"$","9","1707210984667","255","-132.734375","-2.2578125","19.9089050292969","1","8.3155517578125"
"$","7","1707210984729","256","-58.3671875","10.1171875","22.044059753418","1","6.02978515625"
"$","8","1707210984729","256","-113.8515625","6.6640625","19.4639148712158","1","8.3155517578125"
"$","7","1707210984792","257","-57.078125","10.3515625","22.0662307739258","1","6.2802734375"
"$","7","1707210984870","258","-55.765625","10.546875","22.0662307739258","1","6.2802734375"
"$","7","1707210984932","259","-54.4765625","10.546875","22.0477352142334","1","6.5059814453125"
"$","7","1707210984995","260","-53.1640625","10.7265625","22.0477352142334","1","6.5059814453125"
"$","7","1707210985057","261","-51.8671875","10.84375","22.0625686645508","1","6.6781005859375"
"$","7","1707210985136","262","-50.5546875","11.015625","22.0625686645508","1","6.6781005859375"
"$","7","1707210985198","263","-49.25","11.2421875","22.0998077392578","1","6.8521728515625"
"$","7","1707210985261","264","-47.9453125","11.40625","22.1131935119629","1","6.998291015625"
"$","7","1707210985323","265","-45.3203125","11.765625","22.1452083587646","1","7.265625"
"$","8","1707210985323","265","-120.2421875","1.265625","20.1088123321533","1","8.3155517578125"
"$","7","1707210985417","266","-44.1640625","11.7890625","22.1257972717285","1","5.8544921875"
"$","8","1707210985417","266","-119.0546875","1.6484375","20.1571598052979","1","8.3155517578125"
"$","7","1707210985464","267","-42.84375","11.953125","22.1412944793701","1","6.1248779296875"
"$","8","1707210985464","267","-117.8515625","1.9609375","20.1747455596924","1","8.3155517578125"
"$","7","1707210985526","268","-41.5234375","12.125","22.1412944793701","1","6.1248779296875"
"$","8","1707210985526","268","-116.6953125","2.3203125","20.2071208953857","1","8.3155517578125"
"$","7","1707210985604","269","-40.2265625","12.1875","22.1586437225342","1","6.3455810546875"
"$","8","1707210985604","269","-115.5","2.375","20.1474266052246","1","8.3155517578125"
"$","7","1707210985667","270","-38.921875","12.546875","22.2386245727539","1","5.326171875"
"$","8","1707210985667","270","-96.796875","8.6875","19.4398880004883","1","5.28076171875"
"$","9","1707210985667","270","-114.3203125","2.6328125","20.1474266052246","1","8.3155517578125"
"$","7","1707210985745","271","-37.609375","12.75","22.2804298400879","1","5.6383056640625"
"$","8","1707210985745","271","-95.6328125","8.7109375","19.4398880004883","1","5.28076171875"
"$","9","1707210985745","271","-113.1171875","2.8515625","20.1476249694824","1","8.3155517578125"
"$","7","1707210985792","272","-36.2890625","12.921875","22.3103790283203","1","5.931396484375"
"$","8","1707210985792","272","-111.9375","3.109375","20.1476249694824","1","8.3155517578125"
"$","7","1707210985870","273","-33.6484375","13.203125","22.138557434082","1","5.763671875"
"$","8","1707210985870","273","-92.125","9.03125","19.4472961425781","1","5.881103515625"
"$","9","1707210985870","273","-109.5546875","3.3359375","20.1003723144531","1","8.3155517578125"
"$","7","1707210985932","274","-32.328125","13.375","22.138557434082","1","5.763671875"
"$","8","1707210985932","274","-90.9375","9.203125","19.4528827667236","1","6.152099609375"
"$","9","1707210985932","274","-108.328125","3.109375","20.0312328338623","1","8.3155517578125"
"$","7","1707210985995","275","-31.0234375","13.5","22.2022953033447","1","6.034423828125"
"$","8","1707210985995","275","-89.7734375","9.25","19.4528827667236","1","6.152099609375"
"$","9","1707210985995","275","-107.125","3.390625","20.2383403778076","1","8.3155517578125"
"$","7","1707210986057","276","-29.703125","13.671875","22.2022953033447","1","6.034423828125"
